Simulation,Avg_Total_Time_Minutes,Avg_Activities_Per_Case,Rejection_Rate_%
1,42257.621850440715,15.505154639175258,0.07004903432402682
2,47996.86538516769,17.3265306122449,0.06487379098844066
3,44262.51817392715,15.845360824742269,0.08151819486109299
4,47463.919200439064,17.802083333333332,0.11562750155652406
5,46594.17395972912,16.747474747474747,0.09698439157448098
6,50025.01076501106,18.551020408163264,0.07718389061940073
7,45846.655939165634,17.051546391752577,0.06083280104632418
8,45905.745843724995,16.602040816326532,0.08709988490372352
9,41479.31126994948,16.175257731958762,0.057818321983810865
10,39930.33516059749,15.38,0.09831230542356219
11,42637.6601749256,17.051546391752577,0.08913203835751168
12,40298.297501486144,15.347368421052632,0.06897265234334586
13,47651.65304338214,16.56122448979592,0.07765422128346897
14,46788.619106411286,18.041666666666668,0.0811547156686569
15,49448.06437168986,18.835051546391753,0.06312611499931385
16,44169.726397013255,15.118279569892474,0.05703896474278992
17,48515.8439340099,17.697916666666668,0.08051289697331147
18,49350.59012540886,18.510416666666668,0.05418508484243547
19,42366.821772485855,16.575757575757574,0.07023544141448072
20,45785.67249423639,16.908163265306122,0.09042681456474559
